date,open,high,low,close,volume,log_return,rvol_5d,rvol_21d,rvol_63d
2021-04-14,385.5761343766993,386.6315395766929,383.7455359385016,384.2872619628906,61659900,-0.0034213075918148386,,,
2021-04-15,386.4260781596265,388.68632933197097,386.379390415515,388.41546630859375,60229800,0.010685205247119143,,,
2021-04-16,389.7044266833597,390.3208589152381,388.2847827117887,389.7137756347656,82037300,0.0033370048598022456,,,
2021-04-19,388.7797715143714,389.2280651111477,386.4728323712962,387.799072265625,78498500,-0.004925210547541208,,,
2021-04-20,386.58486845168517,387.6869614412357,383.4840383597904,384.9597473144531,81851800,-0.0073485741127621495,0.11630557931403043,,
2021-04-21,384.34333492736897,388.80777231208793,384.2032146818028,388.602294921875,66793000,0.009417666148802347,0.12977460387388745,,
2021-04-22,388.43420402767475,389.26543407718646,383.9884358212958,385.05316162109375,97582800,-0.009175035652573238,0.12478183903237834,,
2021-04-23,385.61357852432894,390.6384119098377,385.5388724213667,389.22808837890625,73209200,0.01078411034414529,0.15208055417738459,,
2021-04-26,389.88182724622914,390.61033277407387,389.29341345395136,390.04058837890625,52182400,0.0020852892427434804,0.14654441658419398,,
2021-04-27,390.33941829559586,390.5355752024287,388.81702179635823,389.95648193359375,51303100,-0.0002156583629340223,0.128058782683086,,
2021-04-28,390.2273883088753,391.3481791760754,389.3774604601128,389.8444519042969,51238900,-0.00028732981766576595,0.11306585143727498,,
2021-04-29,392.57170209849045,392.94528956050897,388.9478438608281,392.328857421875,78544300,0.006352591792345878,0.07573726722513353,,
2021-04-30,390.05929844599274,390.90922633880604,388.8544524767412,389.7510681152344,85527000,-0.006592161638788255,0.07442796926834594,,
2021-05-03,391.740486180178,392.1234226337819,390.09669546817264,390.5917053222656,68128300,0.0021545340351285954,0.07453599847308603,,
2021-05-04,388.6023105837801,389.0973204297574,384.49279111679294,388.1820068359375,101591200,-0.006188463064610221,0.08791146960253118,,
2021-05-05,389.82580250833166,390.05929824240366,387.7430102993665,388.30340576171875,60162200,0.00031268823547960054,0.08828256111198256,,
2021-05-06,388.37814202679203,391.5350091571525,386.37008425835495,391.4042663574219,74321400,0.007953947497595188,0.09677115368928371,,
2021-05-07,392.17001389755234,394.90657639795603,391.48819625801315,394.2527770996094,67733800,0.007251314673482782,0.09136712316541626,,
2021-05-10,394.60783736731895,394.8319841776763,390.2274545965479,390.348876953125,81852400,-0.009951374288222098,0.1262981961073421,,
2021-05-11,385.8283134901169,387.8550402733602,382.9889977008336,386.8650207519531,116888000,-0.008965046932780081,0.13587239144191068,,
2021-05-12,384.08181415543856,385.3520172707222,377.32910724736956,378.6460266113281,134811000,-0.021474046664933206,0.19914829917141139,0.13168973300158623,
2021-05-13,380.1964417898234,385.1278705672436,380.14972554113865,383.19451904296875,106394000,0.011940940931615863,0.21676572060522573,0.13851128803286686,
2021-05-14,385.93109523135814,389.9285412046908,385.9030768823611,389.07861328125,82201600,0.015238671027534857,0.24853041745497526,0.14379097383883238,
2021-05-17,387.96716817788194,388.9011510722619,386.0711555395105,388.08856201171875,65129200,-0.0025478477130399875,0.240232293340772,0.14355694481042408,
2021-05-18,388.3500945443385,388.59293922934893,384.5861444411635,384.74493408203125,59810200,-0.008652960331173324,0.2396030135358657,0.1456685509379984,
2021-05-19,380.0563698240923,383.9136956201269,378.57131179137997,383.7362365722656,106467100,-0.002625173205470206,0.16409129084272936,0.14372602548829364,
2021-05-20,384.61416996928796,389.1253236094422,384.49277612741383,387.86444091796875,78022200,0.010700466850294662,0.15985798050173136,0.14486634724926306,
2021-05-21,389.34945519441624,390.59166843930177,387.089232490251,387.546875,76578700,-0.0008190902794541077,0.11233828068955144,0.1411070225248051,
2021-05-24,389.7884149825735,392.57169424932044,389.5455703108136,391.49761962890625,51376700,0.010142626062536129,0.13388125861717112,0.14052319943124256,
2021-05-25,392.5810493076067,392.9359673967326,390.0499634392748,390.6290283203125,57451400,-0.002221102344373601,0.1076064242241698,0.1406166998405345,
2021-05-26,391.2174583544931,391.9085966601107,390.18075089606674,391.4042663574219,43088600,0.001982622213982329,0.09676110570131909,0.14076619625936707,
2021-05-27,392.4316813954646,392.94536068585694,391.3295597041095,391.6097717285156,56707700,0.0005249085350109166,0.07704171364984651,0.14076059676343836,
2021-05-28,393.1787779101102,393.4402919789062,392.0766849418198,392.3101806640625,58520200,0.0017869404134579097,0.07333246423338274,0.13913140308632754,
2021-06-01,394.67317493272026,394.81326667212426,391.5256570082224,391.9646301269531,54216600,-0.000881197648362892,0.028424930261209413,0.13711504450445353,
