expiry,strike,last_price,bid,ask,impl_vol,delta,gamma,open_interest,volume,option_type
2026-04-16,685.0,1.82,1.8,1.82,0.1406,,,1818.0,906.0,call
2026-04-16,686.0,1.35,1.32,1.33,0.1309,,,944.0,506.0,call
2026-04-16,687.0,1.15,1.04,1.06,0.1287,,,831.0,279.0,call
2026-04-16,688.0,0.9,0.81,0.83,0.1264,,,589.0,417.0,call
2026-04-16,689.0,0.7,0.68,0.7,0.1279,,,581.0,393.0,call
2026-04-16,690.0,0.53,0.52,0.54,0.1262,,,1764.0,1209.0,call
2026-04-16,691.0,0.41,0.4,0.41,0.1245,,,619.0,274.0,call
2026-04-16,692.0,0.31,0.3,0.31,0.1233,,,1137.0,606.0,call
2026-04-16,693.0,0.24,0.23,0.24,0.1233,,,1029.0,94.0,call
2026-04-16,694.0,0.18,0.18,0.19,0.124,,,517.0,190.0,call
2026-04-16,695.0,0.13,0.13,0.14,0.1231,,,5231.0,1657.0,call
2026-04-16,696.0,0.11,0.1,0.11,0.124,,,753.0,27.0,call
2026-04-16,697.0,0.07,0.08,0.09,0.1257,,,1749.0,123.0,call
2026-04-16,698.0,0.06,0.06,0.07,0.1265,,,235.0,1019.0,call
2026-04-16,699.0,0.05,0.05,0.06,0.1289,,,577.0,12.0,call
2026-04-16,700.0,0.05,0.04,0.05,0.1309,,,6227.0,319.0,call
2026-04-16,705.0,0.02,0.02,0.03,0.1475,,,2435.0,165.0,call
2026-04-16,710.0,0.01,0.02,0.03,0.1719,,,506.0,2.0,call
2026-04-16,715.0,0.01,0.01,0.02,0.1875,,,124.0,23.0,call
2026-04-16,720.0,0.01,0.01,0.02,0.2109,,,53.0,9.0,call
2026-04-16,725.0,0.01,0.01,0.02,0.2324,,,322.0,15.0,call
2026-04-16,730.0,0.01,0.01,0.02,0.2539,,,892.0,715.0,call
2026-04-16,735.0,0.01,0.01,0.02,0.2754,,,94.0,,call
2026-04-16,740.0,0.01,0.01,0.02,0.2969,,,2504.0,3.0,call
2026-04-16,745.0,0.01,0.0,0.01,0.2969,,,18.0,57.0,call
2026-04-16,750.0,0.02,0.0,0.01,0.3203,,,201.0,73.0,call
2026-04-16,755.0,0.02,0.0,0.01,0.3359,,,257.0,4.0,call
2026-04-16,760.0,0.02,,0.01,0.3555,,,112.0,,call
2026-04-16,765.0,0.01,,0.01,0.375,,,10.0,,call
2026-04-16,770.0,0.01,,0.01,0.3906,,,1.0,,call
2026-04-16,775.0,0.01,,0.01,0.4141,,,3.0,,call
2026-04-16,780.0,0.01,,0.01,0.4297,,,8.0,,call
2026-04-16,800.0,0.01,,0.01,0.5,,,600.0,,call
2026-04-16,935.0,0.01,,0.01,0.9219,,,6.0,,call
