date,close,log_return,rvol_21d,regime,regime_label
2021-05-12,378.6460266113281,-0.021474046664933206,0.13168973300158623,0,Low Vol
2021-05-13,383.19451904296875,0.011940940931615863,0.13851128803286686,1,High Vol
2021-05-14,389.07861328125,0.015238671027534857,0.14379097383883238,1,High Vol
2021-05-17,388.08856201171875,-0.0025478477130399875,0.14355694481042408,1,High Vol
2021-05-18,384.74493408203125,-0.008652960331173324,0.1456685509379984,1,High Vol
2021-05-19,383.7362365722656,-0.002625173205470206,0.14372602548829364,1,High Vol
2021-05-20,387.86444091796875,0.010700466850294662,0.14486634724926306,1,High Vol
2021-05-21,387.546875,-0.0008190902794541077,0.1411070225248051,1,High Vol
2021-05-24,391.49761962890625,0.010142626062536129,0.14052319943124256,1,High Vol
2021-05-25,390.6290283203125,-0.002221102344373601,0.1406166998405345,1,High Vol
2021-05-26,391.4042663574219,0.001982622213982329,0.14076619625936707,1,High Vol
2021-05-27,391.6097717285156,0.0005249085350109166,0.14076059676343836,1,High Vol
2021-05-28,392.3101806640625,0.0017869404134579097,0.13913140308632754,1,High Vol
2021-06-01,391.9646301269531,-0.000881197648362892,0.13711504450445353,1,High Vol
2021-06-02,392.5810852050781,0.0015714959445811744,0.13702890700225995,1,High Vol
2021-06-03,391.1240234375,-0.0037183972143232814,0.13583030819342976,1,High Vol
2021-06-04,394.701171875,0.009104246509664694,0.13916533412933754,1,High Vol
2021-06-07,394.3182373046875,-0.0009706595197111941,0.13678064373285187,1,High Vol
2021-06-08,394.4023132324219,0.00021319573325577474,0.13446156825325073,0,Low Vol
2021-06-09,393.81390380859375,-0.001493015546771587,0.1296666821199321,0,Low Vol
2021-06-10,395.6445007324219,0.0046376102762350655,0.12576357666978819,0,Low Vol
2021-06-11,396.2983093261719,0.001651151406353639,0.09537790592834308,0,Low Vol
2021-06-14,397.1856384277344,0.002236540446598713,0.08852967913318122,0,Low Vol
2021-06-15,396.45709228515625,-0.001835955447026363,0.07425557665888449,0,Low Vol
2021-06-16,394.24346923828125,-0.005599158361044152,0.07674839503877255,0,Low Vol
2021-06-17,394.11273193359375,-0.0003316706475871061,0.06891751194949573,0,Low Vol
2021-06-18,388.7960205078125,-0.013582152817315025,0.08503788966779789,0,Low Vol
2021-06-21,394.3620300292969,0.014214508134281196,0.09095028162667346,0,Low Vol
2021-06-22,396.4703674316406,0.005331957578048244,0.09206729084695567,0,Low Vol
2021-06-23,395.9925231933594,-0.0012059726754344495,0.08620471412378242,0,Low Vol
2021-06-24,398.3351745605469,0.005898467763165639,0.08750248217173236,0,Low Vol
2021-06-25,399.7499694824219,0.0035454773578506866,0.0879058630099524,0,Low Vol
2021-06-28,400.5558776855469,0.002014001218127651,0.08795479494940872,0,Low Vol
2021-06-29,400.7713623046875,0.0005378192917472981,0.08793394025414712,0,Low Vol
2021-06-30,401.108642578125,0.0008412238521316193,0.08766770235563585,0,Low Vol
2021-07-01,403.32952880859375,0.005521597437814592,0.0889943020314123,0,Low Vol
2021-07-02,406.4123229980469,0.007614300970050232,0.08962089683310298,0,Low Vol
2021-07-06,405.6721496582031,-0.0018228979120518227,0.08637438857317073,0,Low Vol
2021-07-07,407.10577392578125,0.003527718243181724,0.08628633555588482,0,Low Vol
2021-07-08,403.7886047363281,-0.008181553061388118,0.09256020670178292,0,Low Vol
2021-07-09,408.09906005859375,0.010618453783649333,0.09762237571435037,0,Low Vol
2021-07-12,409.560791015625,0.003575404888188731,0.09728796195994348,0,Low Vol
2021-07-13,408.1646728515625,-0.003414641177969328,0.09885472575706844,0,Low Vol
2021-07-14,408.773681640625,0.0014909543627857995,0.09880942564487147,0,Low Vol
2021-07-15,407.3774719238281,-0.0034214521972808017,0.09960691515348487,0,Low Vol
2021-07-16,404.1822509765625,-0.007874312553975586,0.10187669317611384,0,Low Vol
2021-07-19,398.21331787109375,-0.014878056265545595,0.11607844959119458,0,Low Vol
2021-07-20,403.91986083984375,0.014228657774678551,0.11353963650961517,0,Low Vol
2021-07-21,407.1900939941406,0.008063643787483954,0.10688145381650464,0,Low Vol
2021-07-22,408.0428161621094,0.002091972657947517,0.10601288097700223,0,Low Vol
2021-07-23,412.24078369140625,0.010235494602380527,0.10984939084490115,0,Low Vol
2021-07-26,413.2527770996094,0.002451851748440964,0.10891943972423287,0,Low Vol
2021-07-27,411.3693542480469,-0.004567973754238333,0.11084418083910572,0,Low Vol
2021-07-28,411.20062255859375,-0.00041025492438893197,0.11098320200401839,0,Low Vol
2021-07-29,412.9060363769531,0.004138824105657736,0.1113927563343983,0,Low Vol
2021-07-30,410.9007568359375,-0.004868334464041335,0.1135027357268875,0,Low Vol
2021-08-02,410.0386657714844,-0.0021002557743192334,0.11287181711007041,0,Low Vol
2021-08-03,413.3745422363281,0.008102601908751705,0.11325606740168723,0,Low Vol
2021-08-04,411.3411865234375,-0.004931056270958521,0.11466907943205702,0,Low Vol
2021-08-05,413.94622802734375,0.006313073748473264,0.11594535357336115,0,Low Vol
2021-08-06,414.63018798828125,0.0016509282742429659,0.1112638181427875,0,Low Vol
2021-08-09,414.2928771972656,-0.0008138531156892243,0.10607723899211137,0,Low Vol
2021-08-10,414.8082275390625,0.001243154556718893,0.10559201927785282,0,Low Vol
2021-08-11,415.8388977050781,0.0024816090097251357,0.10473499695661802,0,Low Vol
