strategy,scenario,mean_pnl,std_pnl,sharpe,var_95,cvar_95,max_loss,pct_loss,avg_tc,avg_trades,ww_gamma_risk
no_hedge,base,-0.3539035573772148,4.3789731710697435,-0.08081884577766421,-9.554631087802242,-12.522783213798276,-19.409420167903427,0.37555555555555553,0.0,0.0,
delta,base,-0.18369925094406858,1.0031608253756426,-0.1831204392130053,-1.9175979372953336,-2.4492305509738337,-4.276265362251706,0.5533333333333333,0.22628464410015933,29.75111111111111,
random,base,-2.5377758735956126,6.088798136077139,-0.41679422061291044,-13.559470908073573,-18.17046019344108,-31.829427305676568,0.6422222222222222,2.012354031183655,30.0,
whalley_wilmott,base,-0.18253398659138712,1.9629194054490176,-0.09299107547904265,-3.5963774934932338,-4.085995938938779,-4.856063142993179,0.48444444444444446,0.07013413420263027,8.944444444444445,0.01
ppo,base,-0.1751244666192315,1.1988779471099211,-0.14607364080838742,-2.3229954084979014,-2.9495616731304066,-4.423655667678631,0.5288888888888889,0.22329672213989896,30.0,
sac,base,-0.337701696218132,1.7355207357010811,-0.19458234596183838,-3.336584076577955,-4.710407241949137,-9.756837031505711,0.54,0.3387394206241606,29.108888888888888,
no_hedge,high_tc,-0.3539035573772148,4.3789731710697435,-0.08081884577766421,-9.554631087802242,-12.522783213798276,-19.409420167903427,0.37555555555555553,0.0,0.0,
delta,high_tc,-2.220261047845504,1.1077972414049948,-2.0042124721574464,-4.224856081856184,-4.918171276967226,-8.178474242572548,0.9911111111111112,2.262846441001593,29.75111111111111,
random,high_tc,-20.648962154248505,7.0532324433965075,-2.927588495056733,-32.291585303434545,-37.8600423064485,-55.79526924745482,1.0,20.12354031183655,30.0,
whalley_wilmott,high_tc,-0.7470738655598671,3.7496395712974526,-0.19923884718908172,-7.374925277759153,-8.019454756964874,-9.441953421852674,0.46444444444444444,0.4571309322383616,3.931111111111111,0.01
ppo,high_tc,-2.184794965878324,1.4653716334801201,-1.4909494055713641,-4.78552412325112,-5.5051966042551115,-8.360508244128638,0.94,2.2329672213989897,30.0,
sac,high_tc,-3.3863564818355796,2.416796028954238,-1.401175954141598,-7.800130199915746,-8.941607921078885,-14.367360640459395,0.9511111111111111,3.3873942062416065,29.108888888888888,
no_hedge,vol_mismatch,-1.7681872945053627,6.587749449092356,-0.2684053648623475,-15.7335618967147,-20.484511920460093,-31.6656593453855,0.42444444444444446,0.0,0.0,
delta,vol_mismatch,-1.6381089653193541,1.6415024132628613,-0.9979327182731569,-4.4970057935508105,-5.6853038680967805,-9.82891617025983,0.8444444444444444,0.26098630694189645,29.17111111111111,
random,vol_mismatch,-4.03543481255882,9.167592793684312,-0.4401847795136461,-20.654120139997477,-28.05759509037067,-49.66998285232691,0.6533333333333333,2.014037494995895,30.0,
whalley_wilmott,vol_mismatch,-1.589601678527842,2.4666441382241464,-0.6444389986762628,-5.4777385862826815,-6.676926727449743,-10.45759723514017,0.6777777777777778,0.08579073053978574,10.18,0.01
ppo,vol_mismatch,-1.6354793349545096,2.1442055831074276,-0.7627437162925109,-5.572319890580965,-6.592621283034482,-10.172936166601133,0.7955555555555556,0.26051327406204855,30.0,
sac,vol_mismatch,-1.8305861944195159,2.829696236478992,-0.6469196837528134,-7.1710802212449245,-8.75356652109161,-13.126627996756866,0.7377777777777778,0.42139300699160454,28.65111111111111,
no_hedge,regime_switch,-1.243952129432267,5.812370933576971,-0.21401802184478458,-12.952025854184237,-18.18004655370782,-31.571403049049188,0.41333333333333333,0.0,0.0,
delta,regime_switch,-1.038472348345431,1.7237009655216788,-0.6024666511868761,-4.271975635857983,-5.330890726986948,-8.040860778205172,0.7133333333333334,0.2358348031371447,29.377777777777776,
random,regime_switch,-3.3359331457051713,8.137691828828505,-0.40993603786854255,-17.755400424573256,-24.765172370616163,-45.868451773058695,0.64,2.009508860051582,30.0,
whalley_wilmott,regime_switch,-0.9794306256609763,2.462447377780648,-0.39774682476411594,-4.896713781649415,-6.343881871965153,-11.860186605506598,0.5822222222222222,0.07649557836401188,9.78888888888889,0.01
ppo,regime_switch,-0.985551143344238,2.188389144598757,-0.4503546116451513,-5.23976355523448,-6.631753659184104,-9.787257102072719,0.6288888888888889,0.2337757012341535,30.0,
sac,regime_switch,-1.4073037848878953,2.838043136160176,-0.49587117509142353,-6.638557715301301,-8.382281881404865,-11.719836223416351,0.6511111111111111,0.3627730599299154,28.82888888888889,
