scenario,strategy,benchmark,metric,value_a,value_b,diff,ci_low,ci_high,p_value,significant
base,no_hedge,delta,mean_pnl,-0.3539035573772148,-0.18369925094406858,-0.1702043064331462,-0.5686755238921597,0.20992286785376207,0.389,False
base,no_hedge,delta,std_pnl,4.3789731710697435,1.0031608253756426,3.3758123456941007,2.9681504076691434,3.7638838935847967,0.0,True
base,no_hedge,delta,sharpe,-0.08081884577766421,-0.1831204392130053,0.10230159343534109,-0.002791821501734158,0.2121603048114544,0.055,False
base,no_hedge,delta,var_95,-9.554631087802242,-1.9175979372953336,-7.637033150506909,-8.8529359746966,-5.908096544778234,0.0,True
base,no_hedge,delta,cvar_95,-12.522783213798272,-2.449230550973834,-10.073552662824438,-11.557322125414913,-8.345757843011802,0.0,True
base,no_hedge,delta,max_loss,-19.409420167903427,-4.276265362251706,-15.13315480565172,-16.678749646392554,-11.470505777170665,0.0,True
base,no_hedge,delta,pct_loss,0.37555555555555553,0.5533333333333333,-0.1777777777777778,-0.23333333333333334,-0.12222222222222218,0.0,True
base,random,delta,mean_pnl,-2.5377758735956126,-0.18369925094406858,-2.354076622651544,-2.910742069075709,-1.8053855907837792,0.0,True
base,random,delta,std_pnl,6.088798136077139,1.0031608253756426,5.085637310701496,4.567585369203589,5.623338541129657,0.0,True
base,random,delta,sharpe,-0.41679422061291044,-0.1831204392130053,-0.23367378139990513,-0.3483325878988808,-0.1200188883631611,0.0002,True
base,random,delta,var_95,-13.559470908073573,-1.9175979372953336,-11.64187297077824,-12.854870966933419,-9.573356549722199,0.0,True
base,random,delta,cvar_95,-18.17046019344108,-2.449230550973834,-15.721229642467247,-18.171338608768846,-13.155852941317164,0.0,True
base,random,delta,max_loss,-31.829427305676568,-4.276265362251706,-27.55316194342486,-29.098756784165694,-17.05312120122303,0.0,True
base,random,delta,pct_loss,0.6422222222222222,0.5533333333333333,0.0888888888888889,0.026666666666666727,0.14888888888888896,0.0042,True
base,whalley_wilmott,delta,mean_pnl,-0.18253398659138712,-0.18369925094406858,0.0011652643526814666,-0.1571867973183651,0.15682346269227634,0.9916,False
base,whalley_wilmott,delta,std_pnl,1.9629194054490176,1.0031608253756426,0.959758580073375,0.8565136217254892,1.0579959036321935,0.0,True
base,whalley_wilmott,delta,sharpe,-0.09299107547904265,-0.1831204392130053,0.09012936373396266,0.0011503566199817597,0.18160064926386962,0.0468,True
base,whalley_wilmott,delta,var_95,-3.5963774934932338,-1.9175979372953336,-1.6787795561979002,-1.9049595520165532,-1.298386035229226,0.0,True
base,whalley_wilmott,delta,cvar_95,-4.085995938938779,-2.449230550973834,-1.6367653879649446,-1.9750767030539136,-1.2621842361776219,0.0,True
base,whalley_wilmott,delta,max_loss,-4.856063142993179,-4.276265362251706,-0.5797977807414725,-2.1253926214823053,-0.33593989615326336,0.0016,True
base,whalley_wilmott,delta,pct_loss,0.48444444444444446,0.5533333333333333,-0.06888888888888889,-0.12,-0.015555555555555656,0.01,True
base,ppo,delta,mean_pnl,-0.1751244666192315,-0.18369925094406858,0.008574784324837076,-0.057068359062381536,0.07457105033766917,0.8038,False
base,ppo,delta,std_pnl,1.1988779471099211,1.0031608253756426,0.19571712173427858,0.13641622396146316,0.25684898274882406,0.0,True
base,ppo,delta,sharpe,-0.14607364080838742,-0.1831204392130053,0.03704679840461789,-0.019619284322614478,0.09508666104936087,0.189,False
base,ppo,delta,var_95,-2.3229954084979014,-1.9175979372953336,-0.40539747120256786,-0.6081484279830265,-0.11418193314062863,0.008,True
base,ppo,delta,cvar_95,-2.9495616731304057,-2.449230550973834,-0.5003311221565716,-0.772421268558628,-0.22925011055245875,0.0002,True
base,ppo,delta,max_loss,-4.423655667678631,-4.276265362251706,-0.14739030542692433,-0.932495854123836,-0.14739030542692433,0.0,True
base,ppo,delta,pct_loss,0.5288888888888889,0.5533333333333333,-0.02444444444444449,-0.06444444444444442,0.01333333333333342,0.2464,False
base,sac,delta,mean_pnl,-0.337701696218132,-0.18369925094406858,-0.15400244527406343,-0.2863721440351467,-0.02565119272969961,0.0194,True
base,sac,delta,std_pnl,1.7355207357010811,1.0031608253756426,0.7323599103254386,0.5907537312015296,0.8834846566944102,0.0,True
base,sac,delta,sharpe,-0.19458234596183838,-0.1831204392130053,-0.011461906748833073,-0.09148906316035162,0.07053415946449061,0.7768,False
base,sac,delta,var_95,-3.336584076577955,-1.9175979372953336,-1.4189861392826213,-2.117424279388123,-0.9995372218474934,0.0,True
base,sac,delta,cvar_95,-4.710407241949137,-2.449230550973834,-2.261176690975303,-2.983450871855673,-1.5558025544176584,0.0,True
base,sac,delta,max_loss,-9.756837031505711,-4.276265362251706,-5.4805716692540045,-7.026166509994837,-1.4022463688581048,0.0,True
base,sac,delta,pct_loss,0.54,0.5533333333333333,-0.013333333333333308,-0.06444444444444442,0.039999999999999925,0.6476,False
high_tc,no_hedge,delta,mean_pnl,-0.3539035573772148,-2.220261047845504,1.866357490468289,1.4454628797735387,2.265239811585146,0.0,True
high_tc,no_hedge,delta,std_pnl,4.3789731710697435,1.1077972414049948,3.2711759296647487,2.8468833431416503,3.672963116657674,0.0,True
high_tc,no_hedge,delta,sharpe,-0.08081884577766421,-2.0042124721574464,1.9233936263797822,1.7562240630666526,2.107807271128371,0.0,True
high_tc,no_hedge,delta,var_95,-9.554631087802242,-4.224856081856184,-5.3297750059460585,-6.707376958632136,-3.6706785483288433,0.0,True
high_tc,no_hedge,delta,cvar_95,-12.522783213798272,-4.918171276967226,-7.604611936831046,-9.174234638216516,-5.831833051967661,0.0,True
high_tc,no_hedge,delta,max_loss,-19.409420167903427,-8.178474242572548,-11.230945925330879,-13.926305160357082,-7.568296896849823,0.0,True
high_tc,no_hedge,delta,pct_loss,0.37555555555555553,0.9911111111111112,-0.6155555555555556,-0.6622222222222222,-0.568888888888889,0.0,True
high_tc,random,delta,mean_pnl,-20.648962154248505,-2.220261047845504,-18.428701106403,-19.08480512131114,-17.779057868987632,0.0,True
high_tc,random,delta,std_pnl,7.0532324433965075,1.1077972414049948,5.945435201991513,5.361221995260465,6.54893011431389,0.0,True
high_tc,random,delta,sharpe,-2.927588495056733,-2.0042124721574464,-0.9233760228992867,-1.2068832766623732,-0.6465030804603464,0.0,True
high_tc,random,delta,var_95,-32.291585303434545,-4.224856081856184,-28.06672922157836,-31.623046003293954,-27.282862084506583,0.0,True
high_tc,random,delta,cvar_95,-37.8600423064485,-4.918171276967226,-32.94187102948127,-35.745360256596214,-30.110613362397633,0.0,True
high_tc,random,delta,max_loss,-55.79526924745482,-8.178474242572548,-47.61679500488227,-50.31215423990847,-31.91285218922596,0.0,True
high_tc,random,delta,pct_loss,1.0,0.9911111111111112,0.008888888888888835,0.0022222222222222365,0.01777777777777778,0.0344,True
high_tc,whalley_wilmott,delta,mean_pnl,-0.7470738655598671,-2.220261047845504,1.4731871822856366,1.1201592219397067,1.8240757347863208,0.0,True
high_tc,whalley_wilmott,delta,std_pnl,3.7496395712974526,1.1077972414049948,2.641842329892458,2.4483832567110184,2.825554103026361,0.0,True
high_tc,whalley_wilmott,delta,sharpe,-0.19923884718908172,-2.0042124721574464,1.8049736249683646,1.6366055132186659,1.9863604492765157,0.0,True
